No,BERT_P,BERT_R,BERT_F1,SEMANTIC_SIMILARITY
1,79.80%,93.66%,86.18%,86.18%
2,80.11%,93.77%,86.40%,86.40%
3,100.00%,100.00%,100.00%,100.00%
4,80.38%,96.79%,87.82%,87.82%
5,85.30%,95.00%,89.89%,89.89%
6,88.20%,97.38%,92.56%,92.56%
7,87.94%,97.38%,92.42%,92.42%
8,87.24%,97.11%,91.92%,91.92%
9,89.79%,97.87%,93.66%,93.66%
10,91.57%,97.00%,94.21%,94.21%
11,83.99%,95.20%,89.24%,89.24%
12,77.66%,93.23%,84.73%,84.73%
13,82.56%,95.73%,88.66%,88.66%
14,90.59%,98.40%,94.33%,94.33%
15,84.35%,93.47%,88.67%,88.67%
Rata-rata,85.97%,96.13%,90.71%,90.71%
