No,BERT_P,BERT_R,BERT_F1,SEMANTIC_SIMILARITY
1,87.57%,91.94%,89.70%,89.70%
2,87.80%,92.03%,89.87%,89.87%
3,70.13%,69.34%,69.73%,69.73%
4,90.17%,94.73%,92.39%,92.39%
5,89.13%,90.04%,89.59%,89.59%
6,61.87%,60.12%,60.98%,60.98%
7,94.56%,87.79%,91.05%,91.05%
8,94.47%,86.98%,90.57%,90.57%
9,83.77%,95.62%,89.31%,89.31%
10,77.89%,78.61%,78.25%,78.25%
11,95.27%,95.26%,95.26%,95.26%
12,82.71%,90.98%,86.65%,86.65%
13,80.30%,88.32%,84.12%,84.12%
14,97.50%,89.49%,93.32%,93.32%
15,67.53%,71.40%,69.41%,69.41%
Rerata,84.05%,85.51%,84.68%,84.68%
