No,ROUGE1_P,ROUGE1_R,ROUGE1_F1,ROUGE2_P,ROUGE2_R,ROUGE2_F1,ROUGEL_P,ROUGEL_R,ROUGEL_F1
1,30.00%,33.33%,31.58%,0.00%,0.00%,0.00%,20.00%,22.22%,21.05%
2,54.55%,66.67%,60.00%,30.00%,37.50%,33.33%,54.55%,66.67%,60.00%
3,10.00%,5.26%,6.90%,0.00%,0.00%,0.00%,10.00%,5.26%,6.90%
4,83.33%,100.00%,90.91%,81.82%,100.00%,90.00%,83.33%,100.00%,90.91%
5,84.62%,91.67%,88.00%,83.33%,90.91%,86.96%,84.62%,91.67%,88.00%
6,40.00%,30.77%,34.78%,33.33%,25.00%,28.57%,40.00%,30.77%,34.78%
7,50.00%,38.46%,43.48%,22.22%,16.67%,19.05%,50.00%,38.46%,43.48%
8,60.00%,50.00%,54.55%,33.33%,27.27%,30.00%,60.00%,50.00%,54.55%
9,28.57%,11.76%,16.67%,16.67%,6.25%,9.09%,28.57%,11.76%,16.67%
10,28.57%,6.90%,11.11%,0.00%,0.00%,0.00%,28.57%,6.90%,11.11%
11,90.00%,75.00%,81.82%,66.67%,54.55%,60.00%,90.00%,75.00%,81.82%
12,66.67%,100.00%,80.00%,62.50%,100.00%,76.92%,66.67%,100.00%,80.00%
13,40.00%,57.14%,47.06%,22.22%,33.33%,26.67%,40.00%,57.14%,47.06%
14,9.09%,18.75%,12.24%,3.12%,6.67%,4.26%,9.09%,18.75%,12.24%
15,40.00%,25.00%,30.77%,11.11%,6.67%,8.33%,40.00%,25.00%,30.77%
Rata-rata,47.69%,47.38%,45.99%,31.09%,33.65%,31.55%,47.03%,46.64%,45.29%
