No,ROUGE1_P,ROUGE1_R,ROUGE1_F1,ROUGE2_P,ROUGE2_R,ROUGE2_F1,ROUGEL_P,ROUGEL_R,ROUGEL_F1
1,45.00%,100.00%,62.07%,42.11%,100.00%,59.26%,45.00%,100.00%,62.07%
2,40.00%,88.89%,55.17%,31.58%,75.00%,44.44%,30.00%,66.67%,41.38%
3,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
4,8.11%,30.00%,12.77%,0.00%,0.00%,0.00%,5.41%,20.00%,8.51%
5,2.70%,8.33%,4.08%,0.00%,0.00%,0.00%,2.70%,8.33%,4.08%
6,5.33%,30.77%,9.09%,1.35%,8.33%,2.33%,4.00%,23.08%,6.82%
7,42.31%,84.62%,56.41%,32.00%,66.67%,43.24%,34.62%,69.23%,46.15%
8,42.31%,91.67%,57.89%,32.00%,72.73%,44.44%,30.77%,66.67%,42.11%
9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,72.50%,100.00%,84.06%,71.79%,100.00%,83.58%,72.50%,100.00%,84.06%
11,3.05%,33.33%,5.59%,0.00%,0.00%,0.00%,3.05%,33.33%,5.59%
12,10.34%,50.00%,17.14%,7.14%,40.00%,12.12%,10.34%,50.00%,17.14%
13,13.79%,57.14%,22.22%,3.57%,16.67%,5.88%,10.34%,42.86%,16.67%
14,3.05%,25.00%,5.44%,0.00%,0.00%,0.00%,3.05%,25.00%,5.44%
15,10.67%,50.00%,17.58%,2.70%,13.33%,4.49%,8.00%,37.50%,13.19%
Rata-rata,26.61%,56.65%,33.97%,21.62%,39.52%,26.65%,23.99%,49.51%,30.21%
